id,nombre,cedula,ciudad,categoria,testimonio
1,Maritza Osorio,2615872530,Pereira,Desaparición forzada,"Mi nombre es Ana María Torres, y quiero compartir mi historia para que el mundo no olvide lo que hemos vivido. Mi hermano, Carlos, desapareció hace cinco años en medio del conflicto colombiano. Era un joven lleno de sueños y esperanzas, comprometido con su comunidad. Un día, salió de casa para asistir a una reunión de trabajo y nunca regresó.

La incertidumbre de no saber qué le sucedió es un dolor que carcome el alma. Cada día nos levantamos con la esperanza de recibir noticias, de encontrar respuestas. Mi familia y yo hemos recorrido caminos infinitos en busca de justicia, enfrentándonos a un sistema que muchas veces nos da la espalda.

A pesar de la tristeza, nos mantenemos firmes. La memoria"
2,Ángel Manuel Ruiz Mesa,284984999,Valledupar,Desaparición forzada,"Mi nombre es Laura, y quiero compartir la historia de mi hermano, Andrés, quien desapareció hace cinco años en medio del conflicto en Colombia. Andrés era un joven lleno de sueños y esperanzas, siempre comprometido con su comunidad y dedicado a su familia. Aquella tarde, salió de casa para ir a trabajar y nunca regresó. 

Desde entonces, nuestra familia ha vivido en una angustia constante, buscando respuestas en un silencio ensordecedor. Nos hemos enfrentado a puertas cerradas y miradas evasivas, pero seguimos luchando por la verdad y la justicia. Cada día es una batalla para mantener viva su memoria y la esperanza de que algún día podremos encontrarlo o, al menos, saber qué ocurrió.

La desaparición de"
3,Adriana Zuluaga,4728297869,Valledupar,Minas antipersona,"Mi nombre es Juan, y crecí en una pequeña aldea en el departamento de Antioquia, Colombia. Recuerdo que, de niño, el campo era nuestro patio de juegos y la tierra nos brindaba sustento. Sin embargo, todo cambió un día cuando una explosión sacudió la tranquilidad de nuestra comunidad. Yo tenía apenas 12 años cuando pisé una mina antipersona mientras caminaba al colegio con mis amigos. 

La explosión me dejó con heridas físicas que aún llevo, pero el impacto emocional fue igualmente profundo. La pérdida de mi pierna derecha fue solo el comienzo de una serie de desafíos que afectaron mi vida y la de mi familia. Mis sueños de jugar fútbol se desvanecieron, y mis"
4,Tatiana Ochoa,3526418236,Santa Marta,Secuestro,"Mi nombre es Ana María, y quiero compartir una parte de mi historia durante el conflicto en Colombia. Hace algunos años, fui secuestrada por un grupo armado mientras viajaba por una carretera rural. Recuerdo el miedo y la incertidumbre que sentí en ese momento, pero también la fortaleza interior que descubrí para enfrentar cada día.

Durante mi cautiverio, lo que más me sostuvo fue la esperanza de volver a ver a mi familia. Cada día era un desafío, pero encontré maneras de resistir, apoyándome en los momentos de solidaridad y humanidad que, sorprendentemente, a veces surgían entre los cautivos. Aprendí a valorar las pequeñas cosas: una conversación, un gesto amable, un rayo"
5,Paula Marcela Naranjo,7565951840,Manizales,Reclutamiento de menores,"Mi nombre es Andrés, y crecí en un pequeño pueblo en las montañas de Colombia. Cuando tenía 13 años, mi vida dio un giro inesperado. Un día, hombres armados llegaron a nuestra comunidad y comenzaron a hablar con los jóvenes. Nos prometieron protección, comida y un sentido de pertenencia que muchos de nosotros anhelábamos. Al principio, no entendía lo que realmente significaba todo eso.

Pronto, me vi separado de mi familia y de la escuela. Los días se llenaban de entrenamiento, marchas y tareas que nunca imaginé tener que realizar. La inocencia de mi infancia se esfumó, reemplazada por el ruido de armas y las órdenes de superiores que no conocían la compasión"
6,Nataly Valencia,5213830801,Manizales,Violencia intrafamiliar,"Mi nombre es Ana, y quiero compartir mi historia para dar voz a quienes han vivido situaciones similares en el contexto del conflicto colombiano. Crecí en una pequeña vereda, donde la presencia de grupos armados era parte de la vida cotidiana. Mi familia, como muchas otras, vivía con el temor constante de quedar en medio de la violencia.

Mi padre, que había cambiado después de perder a su hermano en el conflicto, comenzó a descargar su frustración en casa. La tensión en el ambiente lo volvía impredecible, y sus estallidos de ira se convirtieron en una rutina dolorosa. Mi madre y yo éramos las principales receptoras de su ira y sufríamos en silencio, temiendo que buscar ayuda nos pusiera"
7,Hernán Edgardo Cruz,8310531264,Manizales,Reclutamiento de menores,"Testimonio de Ana María:

""Mi nombre es Ana María y crecí en un pequeño pueblo del departamento de Caquetá, Colombia. Recuerdo que tenía apenas 13 años cuando mi vida dio un giro que nunca imaginé. Una tarde, mientras jugaba con mis amigos en el campo, un grupo armado llegó al pueblo. Nos dijeron que necesitaban jóvenes para su causa, que estábamos luchando por una Colombia mejor. Yo no entendía mucho, pero sentía miedo y confusión.

Fui obligada a dejar a mi familia, mis estudios y mis sueños. Durante el tiempo que estuve con ellos, viví momentos de angustia y soledad. Nos entrenaban, nos daban órdenes y nos decían que era por"
8,Clara Ana Pardo,60123008,Cali,Minas antipersona,"Título: Un Camino Inesperado

Mi nombre es Juan, y vengo de un pequeño pueblo en el corazón de Colombia. Hace algunos años, mi vida cambió de forma inesperada mientras caminaba por el bosque cercano a mi hogar, un lugar que solía ser mi refugio y fuente de sustento. En un abrir y cerrar de ojos, una explosión me arrebató la tranquilidad y parte de mi movilidad.

Las minas antipersona nos han robado la paz a muchos en mi comunidad. No solo afectan a quienes las pisamos; también siembran miedo en nuestras familias y vecinos. Me siento afortunado por haber recibido atención médica y una prótesis que me permite caminar de nuevo, pero no todos han tenido"
9,César Hugo Franco,4279621205,Medellín,Desaparición forzada,"Mi nombre es Ana y quiero compartir la historia de mi hermano, Pedro, quien desapareció hace cinco años en medio del conflicto en nuestra querida Colombia. Pedro era un joven lleno de sueños y energía, siempre dispuesto a ayudar a nuestra comunidad. Una tarde, mientras regresaba de su trabajo en la finca, simplemente no volvió a casa. Durante meses, mi familia y yo recorrimos cada rincón en busca de respuestas, enfrentando el silencio y el miedo que nos rodeaba.

La desaparición de Pedro dejó un vacío inmenso en nuestras vidas, pero también nos unió en nuestra lucha por la verdad y la justicia. Hemos encontrado fortaleza en el apoyo de otras familias que han pasado por lo mismo. Compartir nuestras historias nos ha dado esperanza"
10,Norberto Córdoba Burbano,6512232847,Barranquilla,Violencia intrafamiliar,"He vivido toda mi vida en una pequeña aldea en el corazón del conflicto colombiano. La violencia intrafamiliar se convirtió en un eco constante en nuestro hogar, intensificada por el miedo y la incertidumbre que la guerra traía consigo. Mi padre, quien antes de la llegada de los grupos armados era un hombre amable, comenzó a descargar su frustración y temor en nosotros. Recuerdo noches en las que sus gritos eran tan fuertes como los disparos que se escuchaban a lo lejos. Mi madre, mi hermana y yo vivíamos con la esperanza de que algún día la paz llegara no solo a nuestro país, sino también a nuestra casa.

Con el tiempo, encontré fuerzas en la comunidad. Mujeres que, como yo,"
